Cow,Start,End,Steps,Motion Index,Lying Time,Standing Time,Transitions,Transitions Up,Transitions Down
AngusB102,2022-03-16 23:15:00,2022-03-16 23:30:00,0,3,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 23:30:00,2022-03-16 23:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-16 23:45:00,2022-03-17 00:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 00:00:00,2022-03-17 00:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 00:15:00,2022-03-17 00:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 00:30:00,2022-03-17 00:45:00,2,18,0:05:35,0:09:25,1,1,0
AngusB102,2022-03-17 00:45:00,2022-03-17 01:00:00,77,315,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 01:00:00,2022-03-17 01:15:00,104,453,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 01:15:00,2022-03-17 01:30:00,39,164,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 01:30:00,2022-03-17 01:45:00,94,384,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 01:45:00,2022-03-17 02:00:00,103,511,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 02:00:00,2022-03-17 02:15:00,69,280,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 02:15:00,2022-03-17 02:30:00,60,252,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 02:30:00,2022-03-17 02:45:00,39,148,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 02:45:00,2022-03-17 03:00:00,33,140,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 03:00:00,2022-03-17 03:15:00,72,296,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 03:15:00,2022-03-17 03:30:00,103,374,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 03:30:00,2022-03-17 03:45:00,56,258,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 03:45:00,2022-03-17 04:00:00,151,645,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 04:00:00,2022-03-17 04:15:00,82,334,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 04:15:00,2022-03-17 04:30:00,47,181,0:08:30,0:06:30,1,0,1
AngusB102,2022-03-17 04:30:00,2022-03-17 04:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 04:45:00,2022-03-17 05:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 05:00:00,2022-03-17 05:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 05:15:00,2022-03-17 05:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 05:30:00,2022-03-17 05:45:00,40,155,0:05:04,0:09:56,1,1,0
AngusB102,2022-03-17 05:45:00,2022-03-17 06:00:00,77,267,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 06:00:00,2022-03-17 06:15:00,69,231,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 06:15:00,2022-03-17 06:30:00,57,223,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 06:30:00,2022-03-17 06:45:00,34,117,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 06:45:00,2022-03-17 07:00:00,55,233,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 07:00:00,2022-03-17 07:15:00,113,485,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 07:15:00,2022-03-17 07:30:00,1,6,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 07:30:00,2022-03-17 07:45:00,2,13,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 07:45:00,2022-03-17 08:00:00,37,133,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 08:00:00,2022-03-17 08:15:00,14,58,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 08:15:00,2022-03-17 08:30:00,93,380,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 08:30:00,2022-03-17 08:45:00,77,326,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 08:45:00,2022-03-17 09:00:00,32,111,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 09:00:00,2022-03-17 09:15:00,1,1,0:00:00,0:15:00,0,0,0
AngusB102,2022-03-17 09:15:00,2022-03-17 09:30:00,3,11,0:13:49,0:01:11,1,0,1
AngusB102,2022-03-17 09:30:00,2022-03-17 09:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 09:45:00,2022-03-17 10:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 10:00:00,2022-03-17 10:15:00,0,5,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 10:15:00,2022-03-17 10:30:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 10:30:00,2022-03-17 10:45:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 10:45:00,2022-03-17 11:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 11:00:00,2022-03-17 11:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 11:15:00,2022-03-17 11:30:00,0,1,0:11:56,0:03:04,1,1,0
AngusB102,2022-03-17 11:30:00,2022-03-17 11:45:00,2,9,0:06:52,0:08:08,1,0,1
AngusB102,2022-03-17 11:45:00,2022-03-17 12:00:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 12:00:00,2022-03-17 12:15:00,0,0,0:15:00,0:00:00,0,0,0
AngusB102,2022-03-17 12:15:00,2022-03-17 12:30:00,42,221,0:01:23,0:13:37,1,1,0
