tag_no,new_tag,breed,date,collar_id,ped_id,weight,BCS,old_lotek_collar,notes
Y34,Y49,Criollo,12/8/2022,,,944,7,,
Y05,Y50,Criollo,12/8/2022,,,928,7,,
R4,Y76,Angus,12/8/2022,,,1295,7,,
B102,Y77,Angus,12/8/2022,,,,,,
G9,Y78,Angus,12/8/2022,,,1100,7,,
Y38,Y79,Criollo,12/8/2022,,,804,7,,
,Y80,Criollo,12/8/2022,,,728,7,,
Y30,Y81,Criollo,12/8/2022,,,716,7,,
R3,Y82,Angus,12/8/2022,,,1135,7,,
R30,Y83,Angus,12/8/2022,,,1320,7,,
R13,Y84,Angus,12/8/2022,,,1160,7,,
R31,Y85,Angus,12/8/2022,,,1230,7,,
R17,Y86,Angus,12/8/2022,,,1275,7,,
Y99,Y87,Angus,12/8/2022,,,1400,7,,
Y113,Y88,Criollo,12/8/2022,,,854,7,,
G5,,Angus,12/8/2022,,,,,,
P16,,Angus,12/8/2022,,,,,,
R16,,Angus,12/8/2022,,,1195,7,,
R18,,Angus,12/8/2022,,,,,,
W01,,Criollo,12/8/2022,,,,,,
Y17,,Criollo,12/8/2022,,,,,,
